EmployeeID,Age,YearsExperience,Department,EducationLevel,MonthlyHoursWorked,MonthlySalary
103,56,17,,,90,55000
436,39,18,Finance,high school,126,1000000
271,43,21,it,high school,206,95000
107,-10,36,,MSc,226,55000
72,42,31,HR,,197,55000
701,34,40,IT,MSc,222,165000
21,30,2,It,MSc,205,130000
615,37,27,HR,high school,235,205000
122,42,9,it,,231,125000
467,21,34,Finance,high school,151,125000
215,27,28,FINANCE,MSc,186,275000
331,20,14,HR,,216,240000
459,58,32,FINANCE,MSc,112,-50000
88,120,6,IT,PhD,98,200000
373,35,11,it,,153,260000
100,53,29,It,,236,165000
664,39,20,it,MSc,177,50000
131,51,30,it,PhD,220,100000
662,25,23,Hr,BSc,208,150000
309,57,19,it,high school,500,65000
770,-10,36,it,MSc,172,80000
344,36,3,,,127,175000
492,59,27,HR,high school,143,280000
414,58,19,It,high school,140,295000
386,54,23,,high school,236,105000
192,23,31,,BSc,118,200000
277,43,40,HR,High School,207,130000
161,51,35,HR,MSc,167,210000
460,120,33,IT,High School,105,100000
314,23,35,HR,High School,96,185000
22,54,1,Hr,High School,150,205000
253,50,14,Hr,high school,92,50000
748,39,33,,PhD,148,280000
561,38,35,FINANCE,high school,105,185000
475,23,5,IT,high school,128,-50000
59,23,38,FINANCE,,86,255000
511,21,,FINANCE,,137,80000
682,47,11,,High School,128,55000
476,28,2,Finance,high school,182,255000
700,47,17,,High School,132,165000
783,48,39,It,,141,65000
190,41,20,It,PhD,96,265000
687,26,14,HR,MSc,104,140000
563,20,32,HR,High School,210,175000
567,48,34,Finance,PhD,108,100000
244,57,25,HR,MSc,196,245000
505,54,7,It,BSc,239,295000
131,53,35,FINANCE,High School,105,260000
485,41,29,,High School,203,100000
647,48,22,it,BSc,223,270000
21,23,,Hr,BSc,104,60000
167,19,13,it,High School,133,105000
274,37,13,it,BSc,235,60000
388,45,1,It,high school,152,255000
601,28,36,it,MSc,199,180000
316,21,4,,MSc,135,290000
14,32,37,Finance,MSc,144,
242,23,40,IT,high school,172,55000
777,47,13,HR,BSc,165,290000
346,55,38,IT,PhD,159,125000
565,19,24,FINANCE,BSc,187,55000
340,32,19,,High School,197,
92,28,1,,,236,195000
367,25,38,Hr,MSc,162,145000
455,43,5,,BSc,226,235000
428,120,16,HR,PhD,94,185000
509,-10,24,,High School,210,170000
776,22,27,it,high school,218,205000
35,23,1,Hr,high school,109,95000
206,43,34,HR,PhD,136,255000
81,21,36,Finance,High School,225,245000
562,36,4,Finance,MSc,207,210000
388,37,0,Finance,BSc,127,110000
2,50,39,Finance,High School,215,250000
390,37,11,it,high school,101,
566,29,35,,PhD,85,255000
106,18,22,IT,PhD,183,280000
772,43,30,HR,BSc,115,230000
477,31,10,it,PhD,158,
703,55,9,Finance,PhD,195,125000
402,54,2,FINANCE,High School,136,270000
730,28,13,,MSc,128,155000
556,53,15,IT,BSc,161,145000
162,30,9,FINANCE,High School,145,295000
